collective,size,param,target,minimum
broadcast_tree,small,0,6.10E-07,1.32E-06
broadcast_sag,small,0,8.00E-06,2.01E-05
allgather_bucket,small,3,7.00E-06,1.60E-05
reduce_tree,small,3,7.80E-06,2.45E-05
gather_tree,small,3,6.25E-06,2.81E-05
scatter_tree,small,3,1.80E-06,3.93E-06
broadcast_tree,large,12,5.50E-05,1.37E-04
broadcast_sag,large,12,8.00E-05,2.19E-04
allgather_bucket,large,15,2.50E-04,6.19E-04
reduce_tree,large,15,4.50E-04,1.01E-03
gather_tree,large,15,8.50E-05,1.77E-04
scatter_tree,large,15,9.50E-05,1.89E-04
